VIN,Mileage,Oil Life,Average MPG,Brake Fluid Level,Brake Fluid Pressure,Oil Pressure
1FAHP1F85GG203031,20863,44,24,Full,Good,Good
1FAHP2F36GG949873,7581,41,26,Full,Good,Good
1FAHP2F36GG565294,29754,41,24,Full,Good,Good
1GKS2AKC3GR896349,8491,55,23,Full,Good,Good
1HAS4AKC3GR584954,13897,87,20,Full,Good,Good
2G1378S30G9237013,22111,69,23,Full,Good,Good
1FAHP1F85GG490996,27343,55,35,Full,Good,Good
2G1355S30G9194349,28000,69,35,Full,Good,Good
1FAHP2F85GG187540,6677,41,20,Full,Good,Good
1FAHP1F85GG663375,29647,63,20,Full,Good,Good
2G1378S30G9427792,9561,79,31,Full,Good,Good
1GKS2AKC3GR220567,15241,59,35,Full,Good,Good
1GKS2AKC3GR752653,12051,63,33,Full,Good,Good
2G1145S30G9402518,25611,79,25,Full,Good,Good
1FAHP1F85GG668267,13976,45,24,Full,Good,Good
2G1145S30G9601385,14039,63,23,Full,Good,Good
2G1378S30G9204170,12391,67,28,Full,Good,Good
2G1378S30G9144912,20120,83,25,Full,Good,Good
1HAS4AKC3GR454024,28989,37,23,Full,Good,Good
1HAS4AKC3GR185981,20161,75,31,Full,Good,Good
2G1355S30G9573409,28620,50,25,Full,Good,Good
1GKS2AKC3GR203951,16709,90,30,Full,Good,Good
1FAHP2F36GG253475,26237,92,26,Full,Good,Good
1FAHP2F36GG443787,19710,34,34,Full,Good,Good
1FAHP2F36GG271471,29285,44,35,Full,Good,Good
1FAHP1F85GG607918,14101,77,28,Full,Good,Good
1FAHP2F36GG406787,28679,45,30,Full,Good,Good
1GKS2AKC3GR444153,22278,94,24,Full,Good,Good
1FAHP1F85GG970035,17397,41,23,Full,Good,Good
1GKS2AKC3GR289659,27361,76,27,Full,Good,Good
2G1378S30G9589803,6568,73,22,Full,Good,Good
2G1378S30G9697613,29307,83,25,Full,Good,Good
1HAS4AKC3GR954533,19542,83,20,Full,Good,Good
1FAHP1F85GG830302,24843,81,34,Full,Good,Good
1FAHP2F36GG123060,23594,67,29,Full,Good,Good
1FAHP2F36GG155746,14903,38,32,Full,Good,Good
2G1145S30G9857843,20872,58,24,Full,Good,Good
2G1355S30G9718712,8181,38,34,Full,Good,Good
2G1378S30G9384396,19667,84,21,Full,Good,Good
1FAHP2F85GG417536,28859,91,23,Full,Good,Good
1FAHP1F85GG489547,12286,34,32,Full,Good,Good
1FAHP2F36GG470492,21072,51,33,Full,Good,Good
2G1378S30G9314597,15651,84,36,Full,Good,Good
2G1355S30G9720727,27516,85,26,Full,Good,Good
2G1145S30G9954736,23907,88,26,Full,Good,Good
1FAHP1F85GG737416,22951,57,29,Full,Good,Good
1HAS4AKC3GR345276,27742,31,22,Full,Good,Good
2G1378S30G9382457,19133,97,34,Full,Good,Good
2G1378S30G9131644,29388,93,31,Full,Good,Good
2G1378S30G9323122,17092,67,23,Full,Good,Good
2G1378S30G9551481,19431,62,22,Full,Good,Good
1GKS2AKC3GR306888,19962,31,32,Full,Good,Good
1FAHP2F85GG502313,16266,95,33,Full,Good,Good
1GKS2AKC3GR964146,12559,73,22,Full,Good,Good
1GKS2AKC3GR360176,11367,69,23,Full,Good,Good
1HAS4AKC3GR577223,21203,52,35,Full,Good,Good
1GKS2AKC3GR432132,26378,53,29,Full,Good,Good
2G1378S30G9967045,20237,31,32,Full,Good,Good
2G1145S30G9862865,26248,70,23,Full,Good,Good
2G1145S30G9742235,23962,41,26,Full,Good,Good
1HAS4AKC3GR521294,17846,96,35,Full,Good,Good
2G1378S30G9301023,7951,82,36,Full,Good,Good
1FAHP1F85GG631580,20092,95,29,Full,Good,Good
1GKS2AKC3GR366853,8010,82,26,Full,Good,Good
1GKS2AKC3GR738493,20212,74,29,Acceptable,Good,Good
2G1355S30G9288664,9636,38,32,Full,Good,Good
1GKS2AKC3GR430935,19032,36,31,Full,Good,Good
1HAS4AKC3GR951893,16971,67,21,Full,Good,Good
1FAHP1F85GG875333,6795,59,36,Full,Good,Good
1HAS4AKC3GR768918,12932,90,24,Full,Good,Good
2G1355S30G9614252,26831,90,33,Full,Good,Good
1FAHP2F36GG543714,23745,99,23,Acceptable,Good,Good
2G1378S30G9329078,15416,58,28,Full,Good,Good
1FAHP2F85GG543064,19452,49,27,Full,Good,Good
2G1145S30G9728717,19544,30,29,Full,Good,Good
1HAS4AKC3GR587018,11186,33,28,Full,Good,Good
1HAS4AKC3GR279080,7784,46,22,Full,Good,Good
1FAHP2F85GG815672,29086,37,25,Full,Good,Good
1HAS4AKC3GR664116,29860,54,26,Full,Good,Good
2G1145S30G9458669,20248,42,31,Full,Good,Good
1FAHP2F36GG162617,22954,55,21,Full,Good,Good
2G1145S30G9983153,28895,96,25,Full,Good,Good
2G1355S30G9684725,15475,89,28,Full,Good,Good
2G1378S30G9859611,25960,69,24,Full,Good,Good
1FAHP2F36GG633829,27160,35,27,Full,Good,Good
2G1355S30G9163824,16055,37,25,Full,Good,Good
2G1355S30G9119591,17396,33,32,Full,Good,Good
2G1355S30G9572763,19444,68,24,Full,Good,Good
1FAHP2F85GG965285,16918,76,35,Full,Good,Good
2G1145S30G9163080,10885,87,30,Full,Good,Good
1FAHP2F85GG887286,17607,99,32,Full,Good,Good
1FAHP2F36GG251899,25254,51,31,Full,Good,Good
1FAHP1F85GG752225,11315,64,20,Full,Good,Good
2G1378S30G9371131,11634,58,27,Full,Good,Good
2G1378S30G9439821,23558,59,21,Full,Good,Good
2G1378S30G9524724,11770,99,36,Full,Good,Good
1FAHP1F85GG858117,8450,87,23,Full,Good,Good
2G1145S30G9471041,13278,31,28,Full,Good,Good
1GKS2AKC3GR131519,25263,63,20,Full,Good,Good
1HAS4AKC3GR190106,22870,49,29,Full,Good,Good
1GKS2AKC3GR221077,23153,74,26,Full,Good,Good
2G1145S30G9247195,10257,58,25,Full,Good,Good
1GKS2AKC3GR184274,12156,87,28,Full,Good,Good
1FAHP2F85GG733044,11398,90,30,Full,Good,Good
2G1378S30G9790732,18592,87,21,Full,Good,Good
2G1355S30G9970512,19903,34,34,Full,Good,Good
1FAHP2F36GG776000,28146,36,30,Full,Good,Acceptable
1FAHP2F85GG234885,6782,66,21,Full,Good,Good
1FAHP2F85GG528579,26483,99,33,Full,Good,Good
1GKS2AKC3GR307837,22443,68,24,Full,Good,Good
1FAHP2F85GG723365,9343,59,27,Full,Good,Good
1FAHP2F85GG993439,20798,80,27,Full,Good,Good
2G1378S30G9576208,17584,34,26,Full,Good,Good
1FAHP2F36GG560603,26005,59,27,Full,Good,Good
1GKS2AKC3GR413326,21828,98,32,Full,Good,Good
2G1378S30G9216321,25577,71,27,Full,Good,Good
2G1145S30G9287459,9685,53,35,Full,Good,Good
1FAHP2F85GG731379,26382,57,27,Full,Good,Good
2G1378S30G9813533,16071,31,20,Full,Acceptable,Good
1FAHP2F85GG523817,14216,88,31,Full,Good,Good
1FAHP2F85GG493726,10190,38,22,Full,Good,Good
2G1378S30G9246468,27082,76,32,Full,Good,Good
2G1145S30G9912171,12638,65,34,Full,Good,Good
1FAHP1F85GG734483,24642,72,27,Full,Good,Good
2G1378S30G9900208,19298,83,23,Full,Good,Good
1FAHP2F36GG788047,14293,91,20,Full,Good,Good
1FAHP2F36GG937720,25877,75,26,Full,Good,Good
1HAS4AKC3GR202828,18087,74,24,Full,Good,Good
1HAS4AKC3GR542949,9466,47,25,Full,Good,Good
1FAHP2F36GG746434,17386,92,24,Full,Good,Good
1FAHP2F85GG542258,21209,59,29,Full,Good,Good
1FAHP2F36GG945927,22153,68,29,Full,Good,Good
1FAHP2F36GG720602,17883,93,25,Full,Good,Good
1FAHP2F85GG406487,6407,31,35,Full,Good,Good
1GKS2AKC3GR534475,18805,46,27,Full,Good,Good
2G1355S30G9892348,7845,31,25,Full,Good,Good
2G1145S30G9519896,12319,63,25,Full,Good,Good
1FAHP2F85GG907345,22767,90,21,Full,Good,Good
1FAHP1F85GG994667,18305,61,31,Full,Good,Good
1GKS2AKC3GR519120,26671,70,32,Full,Good,Good
1FAHP2F36GG355712,20672,89,24,Full,Good,Good
1FAHP2F36GG271740,6899,62,23,Full,Good,Good
1FAHP1F85GG128963,6381,32,35,Full,Good,Good
1GKS2AKC3GR438202,20865,63,24,Full,Good,Good
1HAS4AKC3GR717939,22654,97,27,Full,Good,Good
1FAHP2F85GG650406,7228,78,22,Full,Good,Good
2G1378S30G9934518,27092,39,30,Full,Good,Good
1FAHP2F85GG636369,23262,74,27,Full,Good,Good
2G1355S30G9864997,8927,55,33,Full,Good,Good
1FAHP2F36GG341514,21946,91,25,Full,Good,Good
1FAHP2F85GG962410,18274,80,26,Full,Good,Good
1HAS4AKC3GR991615,7164,24,26,Full,Good,Good
1HAS4AKC3GR578240,14487,38,35,Full,Good,Good
2G1355S30G9584556,14403,82,35,Full,Good,Good
1FAHP1F85GG340254,9444,43,25,Full,Good,Good
1GKS2AKC3GR549050,19421,52,32,Full,Good,Good
2G1145S30G9500344,26335,68,29,Full,Good,Good
1FAHP2F36GG514094,12612,71,35,Full,Good,Good
2G1378S30G9897077,9913,44,26,Full,Good,Good
1FAHP1F85GG276186,19709,11,32,Full,Good,Good
2G1378S30G9658489,19896,66,35,Full,Good,Good
2G1145S30G9775945,14798,90,23,Full,Good,Good
1GKS2AKC3GR827400,18130,87,25,Full,Good,Good
2G1355S30G9193837,9326,76,25,Full,Good,Good
1GKS2AKC3GR476742,7737,82,28,Full,Good,Good
1GKS2AKC3GR330370,13281,96,30,Full,Good,Good
2G1355S30G9512119,29484,47,23,Full,Good,Good
2G1378S30G9671789,14915,56,25,Full,Good,Good
1HAS4AKC3GR229115,8058,61,31,Full,Good,Good
2G1378S30G9886743,7171,36,30,Full,Good,Good
1FAHP1F85GG114795,17484,83,29,Full,Good,Good
2G1355S30G9674348,23244,35,21,Full,Good,Good
1FAHP2F36GG442821,20767,98,20,Full,Good,Good
2G1378S30G9206572,26294,48,20,Full,Good,Good
2G1378S30G9313153,6728,54,36,Full,Good,Good
1FAHP2F36GG223227,28159,34,25,Full,Good,Good
2G1145S30G9780399,6605,72,26,Full,Good,Good
1FAHP1F85GG575318,15068,94,22,Full,Good,Good
1FAHP1F85GG390983,9160,37,30,Full,Good,Good
1FAHP2F36GG583609,25321,97,27,Full,Good,Good
1FAHP2F36GG463377,28590,81,34,Full,Good,Good
1HAS4AKC3GR378270,10875,41,32,Full,Good,Good
2G1378S30G9346302,16370,84,33,Full,Good,Good
1GKS2AKC3GR638522,14094,39,31,Full,Good,Good
2G1145S30G9237151,21262,90,35,Full,Good,Good
2G1355S30G9673605,22599,44,32,Full,Good,Good
1HAS4AKC3GR675827,26351,55,30,Full,Good,Good
1HAS4AKC3GR892865,12031,95,36,Full,Good,Good
2G1355S30G9857551,7061,86,29,Full,Good,Good
2G1378S30G9312385,22109,96,31,Full,Good,Good
2G1145S30G9594209,6854,99,36,Full,Good,Good
1HAS4AKC3GR403285,18123,11,24,Full,Good,Acceptable
1FAHP2F85GG921942,21053,34,32,Full,Good,Good
1FAHP1F85GG599042,25634,66,24,Full,Good,Good
2G1355S30G9592570,12004,79,29,Full,Good,Good
2G1355S30G9916038,17649,47,21,Full,Good,Good
1HAS4AKC3GR345573,29194,62,23,Full,Good,Good
1FAHP2F85GG372782,23592,86,23,Full,Good,Good
1HAS4AKC3GR889604,24493,33,24,Full,Good,Good
2G1378S30G9387252,6927,89,33,Full,Good,Good
1FAHP2F36GG704691,11772,89,32,Full,Good,Good
1GKS2AKC3GR935295,12090,42,35,Full,Good,Good
2G1145S30G9635133,29827,75,33,Full,Good,Good
1FAHP1F85GG525708,23196,63,28,Full,Good,Good
2G1145S30G9251889,16217,32,30,Full,Good,Good
2G1355S30G9998875,18257,61,35,Full,Good,Good
2G1378S30G9218909,25955,76,35,Full,Good,Good
1HAS4AKC3GR235720,13896,90,23,Full,Good,Good
1FAHP2F36GG433853,22307,98,23,Full,Good,Good
1FAHP2F36GG356410,27996,77,34,Full,Good,Good
1FAHP2F36GG704009,16961,69,20,Full,Good,Good
1FAHP2F36GG338380,14056,88,20,Full,Good,Good
1GKS2AKC3GR589833,25624,60,21,Full,Good,Good
2G1355S30G9720057,17214,40,23,Full,Good,Good
2G1355S30G9822372,16907,55,32,Full,Good,Good
1FAHP2F85GG975188,29237,79,32,Full,Good,Good
1GKS2AKC3GR838241,25672,48,28,Full,Good,Good
2G1378S30G9818748,8232,34,27,Full,Good,Good
1HAS4AKC3GR212226,6538,87,25,Full,Good,Good
1HAS4AKC3GR365074,23980,67,26,Full,Good,Good
2G1355S30G9599734,29459,67,21,Full,Good,Good
2G1378S30G9301772,22776,19,23,Full,Acceptable,Good
2G1378S30G9491606,11571,96,27,Full,Acceptable,Good
2G1378S30G9799631,26879,33,29,Full,Good,Good
2G1355S30G9530008,19032,69,36,Full,Good,Good
1GKS2AKC3GR420594,25602,71,28,Full,Good,Good
1HAS4AKC3GR564256,24282,99,23,Full,Good,Good
2G1355S30G9576062,16799,56,25,Full,Acceptable,Good
1FAHP2F85GG943556,15513,57,25,Full,Good,Good
1HAS4AKC3GR251186,12226,70,30,Full,Good,Good
1FAHP2F85GG468764,20021,67,27,Full,Good,Good
1GKS2AKC3GR547038,11512,99,27,Full,Good,Good
2G1355S30G9201364,28386,30,31,Full,Good,Good
2G1355S30G9365170,16541,74,27,Full,Good,Good
2G1145S30G9160384,10747,51,29,Full,Good,Good
2G1355S30G9181317,20379,50,20,Full,Good,Good
1FAHP1F85GG125639,17281,82,29,Full,Good,Good
1GKS2AKC3GR438278,11143,53,34,Full,Good,Good
2G1145S30G9622021,17454,39,28,Full,Good,Good
1FAHP2F85GG471366,28395,39,21,Full,Good,Good
2G1378S30G9206103,15768,42,32,Full,Good,Good
1FAHP2F85GG648586,9638,40,34,Full,Good,Good
2G1355S30G9923795,23384,38,29,Full,Good,Good
2G1355S30G9842119,14894,92,23,Full,Good,Good
1HAS4AKC3GR900692,15680,52,32,Full,Good,Good
2G1145S30G9740959,26070,73,25,Acceptable,Good,Good
1FAHP1F85GG608521,16134,77,32,Full,Good,Good
1FAHP1F85GG273900,27942,77,26,Full,Good,Acceptable
1FAHP1F85GG320961,12062,77,35,Full,Good,Good
2G1378S30G9600015,17527,91,34,Full,Good,Good
1FAHP2F85GG283473,22235,64,30,Full,Good,Good
1FAHP2F85GG479752,18687,66,26,Full,Good,Acceptable
1FAHP2F36GG390959,13832,95,35,Full,Good,Good
1GKS2AKC3GR626234,18347,94,31,Full,Good,Good
1FAHP2F36GG479728,6399,36,22,Full,Good,Good
1GKS2AKC3GR305570,18518,73,33,Full,Good,Good
1FAHP2F85GG794844,15809,69,35,Full,Good,Good
1GKS2AKC3GR828748,12416,36,21,Full,Good,Good
1FAHP1F85GG830901,14463,36,22,Full,Good,Good
2G1145S30G9530982,19445,57,21,Full,Good,Good
1FAHP2F85GG930689,23269,46,22,Full,Good,Good
1FAHP2F85GG209697,17172,39,31,Full,Good,Good
1HAS4AKC3GR123986,14935,34,24,Full,Good,Good
2G1378S30G9135840,11922,75,29,Full,Good,Good
1FAHP2F36GG159099,6486,54,22,Full,Good,Good
1FAHP1F85GG845777,23876,87,36,Full,Good,Good
1FAHP1F85GG668526,10002,52,29,Full,Good,Good
1FAHP1F85GG455148,13887,99,20,Full,Good,Good
1FAHP1F85GG931364,25880,59,24,Full,Good,Acceptable
1FAHP1F85GG857910,11621,63,33,Full,Good,Good
1HAS4AKC3GR459799,12358,37,33,Full,Good,Good
1FAHP1F85GG673257,27964,40,34,Full,Good,Good
1FAHP2F85GG303987,11409,88,25,Full,Good,Good
1FAHP1F85GG667950,20384,37,29,Full,Good,Good
2G1355S30G9981664,7609,94,27,Full,Good,Good
1FAHP2F85GG648297,19238,75,24,Full,Good,Good
1FAHP2F85GG694434,17925,36,23,Full,Good,Good
1FAHP1F85GG709637,27618,33,30,Full,Good,Good
2G1378S30G9444086,29727,83,23,Full,Good,Good
1GKS2AKC3GR703113,7014,88,27,Full,Good,Good
1FAHP2F85GG929333,27948,18,20,Full,Good,Good
1FAHP2F85GG998736,7945,95,31,Full,Good,Good
2G1378S30G9565869,26735,95,34,Full,Good,Good
1FAHP1F85GG284617,18795,45,28,Full,Good,Good
1HAS4AKC3GR130668,14659,38,27,Full,Good,Good
1FAHP2F85GG205043,24359,59,29,Full,Good,Good
2G1145S30G9152832,6866,70,26,Full,Good,Good
2G1378S30G9945797,10904,14,33,Full,Good,Good
1HAS4AKC3GR752141,10721,79,24,Full,Good,Good
1HAS4AKC3GR551147,12055,80,36,Full,Good,Good
2G1145S30G9906973,22373,63,30,Full,Good,Good
1FAHP2F85GG338156,27098,97,28,Full,Good,Good
2G1355S30G9984818,19839,69,32,Full,Good,Good
1FAHP2F36GG889651,25191,43,26,Full,Good,Good
1FAHP2F36GG709402,7780,60,36,Full,Good,Good
1FAHP1F85GG184224,14030,33,28,Full,Good,Good
1FAHP2F85GG529697,25566,54,35,Full,Good,Good
1FAHP2F36GG578462,9442,59,20,Full,Good,Good
1FAHP2F36GG186345,6710,36,22,Full,Good,Good
1GKS2AKC3GR610631,18744,55,34,Full,Good,Good
1FAHP2F36GG514395,29451,74,31,Full,Good,Good
1GKS2AKC3GR945816,25396,43,25,Full,Good,Good
2G1145S30G9127211,11697,56,30,Full,Good,Good
1FAHP1F85GG996193,10575,76,31,Full,Good,Good
2G1378S30G9181238,16821,71,23,Full,Good,Good
1HAS4AKC3GR235875,13397,69,30,Full,Good,Good
1HAS4AKC3GR810754,11616,39,27,Full,Good,Good
2G1145S30G9392421,27699,83,27,Full,Good,Good
2G1145S30G9694920,27688,36,33,Full,Good,Good
2G1145S30G9276159,15292,61,24,Full,Good,Good
1HAS4AKC3GR670935,29054,98,23,Full,Good,Good
2G1378S30G9984408,14010,67,24,Full,Good,Good
1FAHP2F85GG393009,6546,75,23,Full,Good,Good
1FAHP2F36GG420949,20384,66,22,Full,Good,Good
1FAHP2F85GG290474,9345,84,22,Full,Good,Good
1FAHP2F36GG173990,18518,30,30,Full,Good,Good
1FAHP1F85GG783767,14051,33,22,Full,Good,Good
2G1355S30G9796400,16714,62,30,Full,Good,Good
1FAHP2F85GG834159,15152,56,36,Full,Good,Good
2G1145S30G9355098,25283,63,34,Full,Good,Good
1FAHP2F85GG210197,18557,91,21,Full,Good,Good
1FAHP2F36GG551941,29495,28,20,Full,Good,Good
1FAHP2F85GG603267,24812,80,26,Full,Good,Good
1GKS2AKC3GR365321,19658,58,23,Full,Acceptable,Good
1GKS2AKC3GR702827,23162,76,21,Full,Good,Good
1FAHP1F85GG585034,11459,41,22,Full,Good,Good
2G1355S30G9733377,11477,46,25,Full,Good,Good
1FAHP1F85GG491763,19803,81,27,Full,Good,Good
1GKS2AKC3GR556033,6990,91,24,Full,Good,Good
1FAHP2F85GG898883,12372,68,28,Full,Good,Good
2G1378S30G9183432,13332,36,27,Full,Good,Good
1FAHP1F85GG129966,24426,41,31,Full,Good,Good
2G1378S30G9787174,27518,53,23,Full,Good,Good
1GKS2AKC3GR778750,17629,89,28,Full,Good,Good
2G1145S30G9414845,6755,58,32,Full,Good,Good
1FAHP2F36GG325929,20862,55,22,Full,Good,Good
1HAS4AKC3GR340806,7623,36,24,Full,Good,Good
1HAS4AKC3GR456134,28318,60,30,Full,Good,Good
1HAS4AKC3GR140200,24055,56,30,Full,Good,Good
2G1145S30G9484098,25379,83,29,Full,Good,Good
1HAS4AKC3GR973252,22046,83,20,Full,Good,Good
2G1145S30G9122805,22433,55,27,Full,Good,Good
2G1378S30G9158341,9498,59,24,Full,Good,Good
2G1145S30G9662640,22026,81,32,Full,Good,Good
1FAHP2F36GG366283,18803,98,30,Full,Good,Good
2G1378S30G9157795,25344,86,25,Full,Good,Good
1FAHP1F85GG419824,16496,89,27,Full,Good,Good
2G1355S30G9177729,14552,68,34,Full,Good,Good
1FAHP1F85GG984123,19046,97,34,Full,Good,Good
2G1378S30G9213959,21775,87,29,Full,Good,Good
1GKS2AKC3GR793742,14426,75,27,Full,Good,Good
1GKS2AKC3GR702030,8721,87,30,Full,Good,Good
2G1378S30G9466152,27671,54,33,Full,Good,Good
1GKS2AKC3GR766013,21871,99,31,Full,Good,Good
2G1145S30G9350290,12884,72,25,Full,Good,Good
