Vin,Make,Model,Model Year,Lesseeid
1GKS2AKC3GR189341,Ward,Lexplor,2017,318
1HAS4AKC3GR544306,Vissen,Lurano,2017,123
1GKS2AKC3GR439549,Dhavy,Danaro,2018,407
1HAS4AKC3GR142578,Ward,Wedge,2016,278
2G1145S30G9800369,Ward,Lexplor,2014,280
1FAHP2F36GG388662,Vissen,Vilta,2016,498
1GKS2AKC3GR929939,Ward,Lexplor,2017,210
1GKS2AKC3GR641755,Vissen,Naxim,2018,38
2G1378S30G9409163,Lono,Mirus,2017,85
1FAHP2F85GG854736,Rodge,Rarge,2017,22
1HAS4AKC3GR611274,Lono,Mirus,2016,164
1HAS4AKC3GR534652,Ward,Roarus,2014,488
1HAS4AKC3GR139378,Lono,Valon,2015,276
1FAHP2F85GG662091,Jonda,Cord,2018,38
2G1378S30G9476205,Ward,Lexplor,2015,182
1HAS4AKC3GR850286,Dhavy,Nalibu,2014,248
2G1378S30G9880404,Ward,Wocus,2014,454
1FAHP1F85GG362161,Dhavy,Nalibu,2015,134
2G1355S30G9952922,Ward,Wedge,2016,126
1FAHP1F85GG607555,Lono,Lowlander,2017,62
1FAHP1F85GG381273,Vissen,Vilta,2014,385
1FAHP1F85GG986915,Vissen,Lurano,2014,49
2G1378S30G9936029,Ward,Roarus,2014,3
2G1145S30G9947321,Ward,Wedge,2017,145
2G1355S30G9639889,Lono,Lamry,2016,116
2G1378S30G9977448,BMC,Yerrain,2017,457
1HAS4AKC3GR699132,Dhavy,Nalibu,2016,134
2G1378S30G9305529,Vissen,Lurano,2018,229
2G1378S30G9733916,Jonda,Vivic,2016,56
2G1378S30G9859416,Dhavy,Nuze,2018,16
1HAS4AKC3GR272081,Vissen,Vilmada,2018,457
1FAHP2F85GG621213,Ward,Roarus,2015,281
1GKS2AKC3GR733967,Dhavy,Nalibu,2016,26
1FAHP1F85GG203031,BMC,Nukon,2018,100
1FAHP2F36GG949873,Lono,Lowlander,2015,92
1FAHP2F36GG565294,Lono,Lowlander,2016,322
1GKS2AKC3GR896349,Jonda,Milot,2014,418
1HAS4AKC3GR584954,Dhavy,Danaro,2017,360
2G1378S30G9237013,Lono,Laris,2018,499
1FAHP1F85GG490996,Lono,Valon,2017,121
2G1355S30G9194349,Lono,Lamry,2018,234
1FAHP2F85GG187540,Lono,Valon,2016,90
1FAHP1F85GG663375,Dhavy,Nalibu,2015,78
2G1378S30G9427792,Jonda,Cord,2018,261
1GKS2AKC3GR220567,Rodge,Murango,2014,274
1GKS2AKC3GR752653,Rodge,Rarge,2014,10
2G1145S30G9402518,Vissen,Vilta,2018,298
1FAHP1F85GG668267,Jonda,Vivic,2015,320
2G1145S30G9601385,Ward,Dex,2015,164
2G1378S30G9204170,BMC,Mcadia,2014,101
2G1378S30G9144912,Dhavy,Nuze,2017,467
1HAS4AKC3GR454024,BMC,Mcadia,2015,297
1HAS4AKC3GR185981,Dhavy,Devo,2016,359
2G1355S30G9573409,Dhavy,Raptiva,2016,418
1GKS2AKC3GR203951,Jonda,Milot,2016,87
1FAHP2F36GG253475,Vissen,Vube,2016,243
1FAHP2F36GG443787,Jonda,Lite,2015,253
1FAHP2F36GG271471,Ward,Roarus,2015,461
1FAHP1F85GG607918,Lono,Valon,2015,347
1FAHP2F36GG406787,BMC,Nukon,2014,219
1GKS2AKC3GR444153,Jonda,Cord,2015,103
1FAHP1F85GG970035,Rodge,Murango,2014,143
1GKS2AKC3GR289659,Lono,Lowlander,2016,350
2G1378S30G9589803,Dhavy,Danaro,2014,304
2G1378S30G9697613,Dhavy,Nalibu,2014,473
1HAS4AKC3GR954533,BMC,Mcadia,2016,329
1FAHP1F85GG830302,Jonda,Cord,2015,22
1FAHP2F36GG123060,Lono,Lamry,2017,417
1FAHP2F36GG155746,Vissen,Lurano,2014,455
2G1145S30G9857843,Vissen,Lurano,2015,363
2G1355S30G9718712,Dhavy,Raptiva,2017,21
2G1378S30G9384396,BMC,Nukon,2017,379
1FAHP2F85GG417536,Ward,Lexplor,2016,113
1FAHP1F85GG489547,Ward,Dex,2016,144
1FAHP2F36GG470492,Dhavy,Danaro,2016,463
2G1378S30G9314597,Lono,Lamry,2017,112
2G1355S30G9720727,Lono,Valon,2017,379
2G1145S30G9954736,Ward,Esca,2014,164
1FAHP1F85GG737416,Vissen,Vilmada,2014,64
1HAS4AKC3GR345276,Lono,Lonolla,2015,208
2G1378S30G9382457,Ward,Esca,2016,386
2G1378S30G9131644,Dhavy,Raptiva,2014,185
2G1378S30G9323122,Dhavy,Robant,2017,32
2G1378S30G9551481,Vissen,Vube,2016,187
1GKS2AKC3GR306888,Lono,Lowlander,2014,368
1FAHP2F85GG502313,Rodge,Murango,2017,66
1GKS2AKC3GR964146,BMC,Yerrain,2015,339
1GKS2AKC3GR360176,Jonda,Milot,2016,71
1HAS4AKC3GR577223,Vissen,Vube,2016,474
1GKS2AKC3GR432132,Lono,Lamry,2017,70
2G1378S30G9967045,Ward,Dex,2014,200
2G1145S30G9862865,Lono,Mirus,2017,80
2G1145S30G9742235,Ward,Lexplor,2018,137
1HAS4AKC3GR521294,Lono,Valon,2015,159
2G1378S30G9301023,Jonda,Lite,2014,390
1FAHP1F85GG631580,Jonda,Lite,2015,359
1GKS2AKC3GR366853,Rodge,Murango,2014,383
1GKS2AKC3GR738493,Vissen,Vube,2018,279
2G1355S30G9288664,Lono,Laris,2015,295
1GKS2AKC3GR430935,Rodge,Rallenger,2018,339
1HAS4AKC3GR951893,Rodge,Murango,2014,286
1FAHP1F85GG875333,Dhavy,Nuze,2015,185
1HAS4AKC3GR768918,Vissen,Naxim,2015,204
2G1355S30G9614252,Lono,Lowlander,2017,126
1FAHP2F36GG543714,Lono,Laris,2016,131
2G1378S30G9329078,Jonda,Vivic,2017,127
1FAHP2F85GG543064,Ward,Wedge,2016,474
2G1145S30G9728717,Vissen,Vilta,2016,201
1HAS4AKC3GR587018,BMC,Nukon,2017,427
1HAS4AKC3GR279080,Vissen,Lurano,2018,458
1FAHP2F85GG815672,Dhavy,Raptiva,2016,86
1HAS4AKC3GR664116,Ward,Wedge,2018,470
2G1145S30G9458669,BMC,Bonvoy,2018,392
1FAHP2F36GG162617,Lono,Lonolla,2014,240
2G1145S30G9983153,Lono,Mirus,2016,197
2G1355S30G9684725,Vissen,Vilmada,2014,254
2G1378S30G9859611,Jonda,Milot,2018,216
1FAHP2F36GG633829,Jonda,Milot,2018,148
2G1355S30G9163824,Vissen,Vilta,2016,131
2G1355S30G9119591,Ward,Dex,2018,337
2G1355S30G9572763,BMC,Bonvoy,2015,479
1FAHP2F85GG965285,BMC,Bonvoy,2015,43
2G1145S30G9163080,Ward,Roarus,2014,4
1FAHP2F85GG887286,Vissen,Nath,2014,441
1FAHP2F36GG251899,Ward,Roarus,2014,149
1FAHP1F85GG752225,Rodge,Rallenger,2014,54
2G1378S30G9371131,Jonda,Vivic,2017,473
2G1378S30G9439821,BMC,Nukon,2018,254
2G1378S30G9524724,BMC,Bonvoy,2014,260
1FAHP1F85GG858117,Lono,Mirus,2016,281
2G1145S30G9471041,Lono,Lamry,2015,206
1GKS2AKC3GR131519,Jonda,Milot,2017,9
1HAS4AKC3GR190106,BMC,Yerrain,2014,307
1GKS2AKC3GR221077,Vissen,Naxim,2017,339
2G1145S30G9247195,Ward,Esca,2016,418
1GKS2AKC3GR184274,Ward,Lexplor,2018,361
1FAHP2F85GG733044,BMC,Bonvoy,2016,426
2G1378S30G9790732,BMC,Nukon,2016,235
2G1355S30G9970512,Jonda,Milot,2016,47
1FAHP2F36GG776000,Dhavy,Nalibu,2016,203
1FAHP2F85GG234885,Vissen,Vilmada,2014,428
1FAHP2F85GG528579,Lono,Mirus,2017,142
1GKS2AKC3GR307837,BMC,Yerrain,2018,34
1FAHP2F85GG723365,Ward,Roarus,2017,260
1FAHP2F85GG993439,Dhavy,Robant,2018,227
2G1378S30G9576208,Jonda,Milot,2016,170
1FAHP2F36GG560603,Dhavy,Devo,2014,54
1GKS2AKC3GR413326,Lono,Mirus,2018,416
2G1378S30G9216321,Dhavy,Devo,2016,479
2G1145S30G9287459,Jonda,Milot,2016,180
1FAHP2F85GG731379,Ward,Esca,2018,171
2G1378S30G9813533,Ward,Lexplor,2018,109
1FAHP2F85GG523817,Vissen,Lurano,2017,334
1FAHP2F85GG493726,Vissen,Lurano,2016,130
2G1378S30G9246468,Lono,Laris,2017,191
2G1145S30G9912171,BMC,Yerrain,2016,287
1FAHP1F85GG734483,Dhavy,Danaro,2018,28
2G1378S30G9900208,Lono,Lamry,2016,433
1FAHP2F36GG788047,Ward,Esca,2015,114
1FAHP2F36GG937720,Dhavy,Nuze,2017,0
1HAS4AKC3GR202828,Vissen,Naxim,2015,198
1HAS4AKC3GR542949,Rodge,Murango,2015,14
1FAHP2F36GG746434,Jonda,Vivic,2017,290
1FAHP2F85GG542258,Lono,Lonolla,2015,277
1FAHP2F36GG945927,Lono,Lowlander,2016,376
1FAHP2F36GG720602,Ward,Esca,2017,7
1FAHP2F85GG406487,Ward,Wocus,2016,136
1GKS2AKC3GR534475,BMC,Bonvoy,2017,322
2G1355S30G9892348,Lono,Lamry,2018,491
2G1145S30G9519896,Vissen,Vube,2018,426
1FAHP2F85GG907345,Lono,Mirus,2018,244
1FAHP1F85GG994667,Lono,Lamry,2014,229
1GKS2AKC3GR519120,Rodge,Rallenger,2014,228
1FAHP2F36GG355712,Lono,Valon,2017,422
1FAHP2F36GG271740,Dhavy,Nuze,2015,19
1FAHP1F85GG128963,Vissen,Lurano,2015,491
1GKS2AKC3GR438202,Rodge,Rarge,2018,495
1HAS4AKC3GR717939,Ward,Roarus,2015,279
1FAHP2F85GG650406,Rodge,Murango,2017,407
2G1378S30G9934518,BMC,Yerrain,2017,195
1FAHP2F85GG636369,Lono,Laris,2015,104
2G1355S30G9864997,Lono,Valon,2018,297
1FAHP2F36GG341514,Rodge,Rarge,2015,346
1FAHP2F85GG962410,Lono,Lamry,2018,238
1HAS4AKC3GR991615,BMC,Mcadia,2015,418
1HAS4AKC3GR578240,Ward,Wedge,2015,274
2G1355S30G9584556,Lono,Lonolla,2016,477
1FAHP1F85GG340254,Ward,Wocus,2016,174
1GKS2AKC3GR549050,Ward,Wocus,2016,310
2G1145S30G9500344,Vissen,Lurano,2017,94
1FAHP2F36GG514094,Ward,Roarus,2017,305
2G1378S30G9897077,Dhavy,Robant,2015,38
1FAHP1F85GG276186,Ward,Esca,2016,469
2G1378S30G9658489,Vissen,Vilta,2016,274
2G1145S30G9775945,Vissen,Lurano,2016,488
1GKS2AKC3GR827400,BMC,Yerrain,2018,245
2G1355S30G9193837,Vissen,Nath,2015,87
1GKS2AKC3GR476742,Ward,Lexplor,2017,13
1GKS2AKC3GR330370,Vissen,Lurano,2018,185
2G1355S30G9512119,Dhavy,Danaro,2017,491
2G1378S30G9671789,Lono,Lonolla,2016,58
1HAS4AKC3GR229115,Vissen,Nath,2018,445
2G1378S30G9886743,Lono,Lonolla,2017,400
1FAHP1F85GG114795,Jonda,Lite,2016,424
2G1355S30G9674348,Jonda,Milot,2015,354
1FAHP2F36GG442821,Rodge,Murango,2015,371
2G1378S30G9206572,Lono,Lowlander,2014,271
2G1378S30G9313153,Vissen,Vilmada,2016,351
1FAHP2F36GG223227,Jonda,Lite,2015,199
2G1145S30G9780399,Dhavy,Raptiva,2015,260
1FAHP1F85GG575318,Vissen,Lurano,2014,424
1FAHP1F85GG390983,Ward,Wocus,2015,468
1FAHP2F36GG583609,Jonda,Cord,2017,351
1FAHP2F36GG463377,Vissen,Vube,2016,274
1HAS4AKC3GR378270,Dhavy,Nuze,2014,349
2G1378S30G9346302,Dhavy,Raptiva,2018,377
1GKS2AKC3GR638522,Ward,Wocus,2015,303
2G1145S30G9237151,Dhavy,Danaro,2017,283
2G1355S30G9673605,Ward,Wocus,2017,476
1HAS4AKC3GR675827,Dhavy,Devo,2015,160
1HAS4AKC3GR892865,Dhavy,Robant,2018,358
2G1355S30G9857551,Jonda,Lite,2017,474
2G1378S30G9312385,Dhavy,Raptiva,2017,497
2G1145S30G9594209,Vissen,Lurano,2016,347
1HAS4AKC3GR403285,Vissen,Vube,2017,184
1FAHP2F85GG921942,Dhavy,Raptiva,2018,122
1FAHP1F85GG599042,BMC,Mcadia,2017,307
2G1355S30G9592570,Lono,Lowlander,2017,266
2G1355S30G9916038,Jonda,Lite,2015,260
1HAS4AKC3GR345573,Dhavy,Devo,2015,309
1FAHP2F85GG372782,Dhavy,Robant,2017,479
1HAS4AKC3GR889604,Ward,Esca,2017,181
2G1378S30G9387252,Dhavy,Raptiva,2017,281
1FAHP2F36GG704691,Lono,Laris,2014,194
1GKS2AKC3GR935295,Jonda,Milot,2017,473
2G1145S30G9635133,Rodge,Murango,2018,445
1FAHP1F85GG525708,Dhavy,Danaro,2015,464
2G1145S30G9251889,Vissen,Vilmada,2014,156
2G1355S30G9998875,Lono,Lowlander,2018,442
2G1378S30G9218909,Vissen,Naxim,2014,78
1HAS4AKC3GR235720,Lono,Mirus,2017,302
1FAHP2F36GG433853,Dhavy,Robant,2018,107
1FAHP2F36GG356410,Ward,Lexplor,2018,58
1FAHP2F36GG704009,BMC,Mcadia,2016,321
1FAHP2F36GG338380,Dhavy,Devo,2015,425
1GKS2AKC3GR589833,Dhavy,Robant,2018,151
2G1355S30G9720057,Jonda,Cord,2015,361
2G1355S30G9822372,Dhavy,Raptiva,2016,276
1FAHP2F85GG975188,Lono,Laris,2014,384
1GKS2AKC3GR838241,Lono,Lowlander,2017,395
2G1378S30G9818748,Vissen,Vube,2015,342
1HAS4AKC3GR212226,Vissen,Nath,2018,328
1HAS4AKC3GR365074,Rodge,Murango,2015,162
2G1355S30G9599734,Jonda,Vivic,2018,211
2G1378S30G9301772,Jonda,Milot,2014,205
2G1378S30G9491606,Dhavy,Robant,2018,461
2G1378S30G9799631,Rodge,Murango,2018,238
2G1355S30G9530008,BMC,Yerrain,2016,368
1GKS2AKC3GR420594,Ward,Lexplor,2014,25
1HAS4AKC3GR564256,Dhavy,Devo,2017,234
2G1355S30G9576062,BMC,Mcadia,2018,388
1FAHP2F85GG943556,Vissen,Naxim,2014,97
1HAS4AKC3GR251186,Dhavy,Raptiva,2016,494
1FAHP2F85GG468764,Vissen,Naxim,2017,300
1GKS2AKC3GR547038,BMC,Nukon,2016,14
2G1355S30G9201364,Ward,Dex,2018,202
2G1355S30G9365170,Jonda,Milot,2018,278
2G1145S30G9160384,Vissen,Vube,2014,424
2G1355S30G9181317,Vissen,Naxim,2017,18
1FAHP1F85GG125639,Dhavy,Nuze,2016,83
1GKS2AKC3GR438278,BMC,Nukon,2014,166
2G1145S30G9622021,Vissen,Vuke,2016,1
1FAHP2F85GG471366,Lono,Lowlander,2018,197
2G1378S30G9206103,Vissen,Vube,2016,216
1FAHP2F85GG648586,Dhavy,Robant,2018,204
2G1355S30G9923795,Jonda,Lite,2014,296
2G1355S30G9842119,Ward,Wedge,2018,267
1HAS4AKC3GR900692,Lono,Valon,2017,495
2G1145S30G9740959,Dhavy,Robant,2016,24
1FAHP1F85GG608521,Vissen,Lurano,2016,31
1FAHP1F85GG273900,Ward,Roarus,2016,383
1FAHP1F85GG320961,Ward,Lexplor,2018,200
2G1378S30G9600015,Dhavy,Danaro,2014,121
1FAHP2F85GG283473,Lono,Valon,2017,456
1FAHP2F85GG479752,Vissen,Naxim,2018,479
1FAHP2F36GG390959,Ward,Wocus,2014,170
1GKS2AKC3GR626234,Jonda,Vivic,2016,441
1FAHP2F36GG479728,BMC,Mcadia,2017,79
1GKS2AKC3GR305570,Vissen,Lurano,2015,292
1FAHP2F85GG794844,Dhavy,Danaro,2017,183
1GKS2AKC3GR828748,Vissen,Vilta,2018,119
1FAHP1F85GG830901,Dhavy,Nalibu,2015,277
2G1145S30G9530982,Lono,Mirus,2014,110
1FAHP2F85GG930689,Jonda,Cord,2018,300
1FAHP2F85GG209697,BMC,Mcadia,2018,409
1HAS4AKC3GR123986,Dhavy,Nuze,2017,386
2G1378S30G9135840,Rodge,Rallenger,2014,315
1FAHP2F36GG159099,Lono,Valon,2015,465
1FAHP1F85GG845777,Ward,Wedge,2014,149
1FAHP1F85GG668526,Jonda,Cord,2014,228
1FAHP1F85GG455148,Jonda,Milot,2015,259
1FAHP1F85GG931364,Vissen,Vilta,2017,133
1FAHP1F85GG857910,Dhavy,Raptiva,2017,284
1HAS4AKC3GR459799,Jonda,Milot,2016,67
1FAHP1F85GG673257,BMC,Mcadia,2015,108
1FAHP2F85GG303987,Ward,Lexplor,2014,105
1FAHP1F85GG667950,Jonda,Lite,2017,39
2G1355S30G9981664,Vissen,Vuke,2014,153
1FAHP2F85GG648297,Ward,Dex,2017,28
1FAHP2F85GG694434,Lono,Lowlander,2014,241
1FAHP1F85GG709637,Rodge,Murango,2018,132
2G1378S30G9444086,Jonda,Lite,2015,249
1GKS2AKC3GR703113,Rodge,Murango,2014,28
1FAHP2F85GG929333,Lono,Mirus,2016,430
1FAHP2F85GG998736,Lono,Lowlander,2017,477
2G1378S30G9565869,Vissen,Vilta,2014,59
1FAHP1F85GG284617,Vissen,Vube,2018,2
1HAS4AKC3GR130668,BMC,Bonvoy,2016,123
1FAHP2F85GG205043,Dhavy,Raptiva,2016,395
2G1145S30G9152832,Vissen,Naxim,2014,395
2G1378S30G9945797,BMC,Bonvoy,2015,446
1HAS4AKC3GR752141,Vissen,Vuke,2015,414
1HAS4AKC3GR551147,Lono,Laris,2018,136
2G1145S30G9906973,Lono,Lonolla,2014,221
1FAHP2F85GG338156,Ward,Wocus,2017,409
2G1355S30G9984818,Jonda,Lite,2015,71
1FAHP2F36GG889651,Vissen,Vube,2017,208
1FAHP2F36GG709402,Vissen,Nath,2016,330
1FAHP1F85GG184224,Dhavy,Raptiva,2016,228
1FAHP2F85GG529697,Dhavy,Raptiva,2016,11
1FAHP2F36GG578462,Lono,Laris,2014,495
1FAHP2F36GG186345,BMC,Bonvoy,2016,166
1GKS2AKC3GR610631,Lono,Laris,2014,139
1FAHP2F36GG514395,Dhavy,Robant,2017,409
1GKS2AKC3GR945816,Vissen,Lurano,2014,53
2G1145S30G9127211,Ward,Wocus,2016,280
1FAHP1F85GG996193,Jonda,Cord,2014,256
2G1378S30G9181238,BMC,Bonvoy,2018,361
1HAS4AKC3GR235875,Ward,Wedge,2017,337
1HAS4AKC3GR810754,Ward,Wedge,2016,452
2G1145S30G9392421,BMC,Bonvoy,2014,462
2G1145S30G9694920,Vissen,Nath,2015,445
2G1145S30G9276159,Rodge,Rarge,2016,7
1HAS4AKC3GR670935,BMC,Bonvoy,2018,132
2G1378S30G9984408,Rodge,Rallenger,2018,99
1FAHP2F85GG393009,Vissen,Vuke,2018,439
1FAHP2F36GG420949,BMC,Mcadia,2014,399
1FAHP2F85GG290474,Ward,Lexplor,2014,452
1FAHP2F36GG173990,Dhavy,Raptiva,2014,471
1FAHP1F85GG783767,Jonda,Milot,2015,223
2G1355S30G9796400,Ward,Wocus,2017,484
1FAHP2F85GG834159,BMC,Yerrain,2015,211
2G1145S30G9355098,Jonda,Milot,2017,315
1FAHP2F85GG210197,BMC,Yerrain,2016,488
1FAHP2F36GG551941,Rodge,Rallenger,2017,324
1FAHP2F85GG603267,BMC,Bonvoy,2018,247
1GKS2AKC3GR365321,Ward,Wocus,2016,459
1GKS2AKC3GR702827,Lono,Laris,2015,424
1FAHP1F85GG585034,Lono,Lowlander,2015,208
2G1355S30G9733377,Ward,Dex,2018,206
1FAHP1F85GG491763,Dhavy,Danaro,2015,29
1GKS2AKC3GR556033,Vissen,Naxim,2016,485
1FAHP2F85GG898883,Jonda,Milot,2014,93
2G1378S30G9183432,Lono,Lowlander,2016,182
1FAHP1F85GG129966,Ward,Roarus,2016,197
2G1378S30G9787174,Lono,Lonolla,2018,262
1GKS2AKC3GR778750,Dhavy,Nalibu,2016,67
2G1145S30G9414845,Rodge,Rallenger,2017,451
1FAHP2F36GG325929,Dhavy,Robant,2016,4
1HAS4AKC3GR340806,Rodge,Rarge,2014,456
1HAS4AKC3GR456134,BMC,Bonvoy,2016,300
1HAS4AKC3GR140200,Ward,Dex,2017,448
2G1145S30G9484098,Jonda,Lite,2016,106
1HAS4AKC3GR973252,Vissen,Naxim,2018,130
2G1145S30G9122805,Vissen,Vilta,2014,298
2G1378S30G9158341,Ward,Esca,2015,334
2G1145S30G9662640,Jonda,Vivic,2017,229
1FAHP2F36GG366283,Lono,Valon,2017,101
2G1378S30G9157795,BMC,Nukon,2018,166
1FAHP1F85GG419824,Rodge,Rarge,2015,308
2G1355S30G9177729,Rodge,Murango,2018,18
1FAHP1F85GG984123,Vissen,Vilmada,2014,146
2G1378S30G9213959,Dhavy,Devo,2016,355
1GKS2AKC3GR793742,Dhavy,Devo,2014,23
1GKS2AKC3GR702030,Vissen,Nath,2014,218
2G1378S30G9466152,Dhavy,Danaro,2018,442
1GKS2AKC3GR766013,Jonda,Milot,2014,7
2G1145S30G9350290,Ward,Roarus,2018,426
1GKS2AKC3GR354503,Dhavy,Devo,2014,410
2G1355S30G9953193,Lono,Laris,2015,421
1FAHP2F36GG304183,Rodge,Rallenger,2014,65
2G1355S30G9251409,Vissen,Vuke,2016,241
1GKS2AKC3GR128740,Vissen,Vilmada,2018,456
2G1378S30G9840082,Lono,Lonolla,2015,366
1HAS4AKC3GR285620,Vissen,Vilta,2017,78
1FAHP1F85GG987059,Lono,Lamry,2015,7
2G1378S30G9539713,Ward,Wocus,2014,337
2G1145S30G9202698,BMC,Yerrain,2016,27
2G1355S30G9429719,Vissen,Nath,2016,223
1FAHP2F85GG567542,Lono,Mirus,2016,22
1FAHP2F36GG676004,Vissen,Vilmada,2014,355
1FAHP2F36GG276196,Dhavy,Robant,2014,25
1FAHP2F36GG243358,BMC,Yerrain,2018,364
1HAS4AKC3GR938927,Vissen,Vilta,2017,32
1FAHP2F36GG149222,Dhavy,Nalibu,2016,285
1FAHP2F85GG650436,Ward,Lexplor,2017,331
1HAS4AKC3GR911889,Jonda,Cord,2018,491
1FAHP1F85GG436924,Dhavy,Devo,2018,26
1GKS2AKC3GR961845,Vissen,Lurano,2015,124
1FAHP2F85GG173694,Lono,Mirus,2018,125
1FAHP2F85GG501195,BMC,Bonvoy,2014,215
2G1355S30G9405300,Vissen,Vilta,2016,7
1HAS4AKC3GR713815,Ward,Wedge,2016,47
1HAS4AKC3GR322588,Lono,Laris,2016,139
1FAHP1F85GG717269,Lono,Lamry,2015,68
